tarih                     text 
8.04.2022        "MIT ve Harvarddan bilim insanları, 37 dil bilen halı yıkamacının beynini inceledi 37 dil bilen ve bunların 24ünü akıcı bir şekilde konuşabilen Amerikalı halı yıkamacı Vaughn Smithin beyninde yapılan incelemeler şaşırtıcı bir sonucu ortaya çıkardı. 46 yaşındaki Smithin İngilizce, İspanyolca, Portekizce, Rusça, Romence, Bulgarca, Slovakça ve Çekçeyi akıcı bir şekilde konuşması ve daha onlarca dili rahatlıkla anlaması hem çevresindekileri hem de bilim insanlarının ilgisini çekti. Smith ayrıca Hırvatça, Fince, İtalyanca, Letonca, Sırpça konuşabiliyor. Fransızca, Almanca, Macarca, İzlandaca, Galce, Felemenkçe, Norveççe, Amerikan işaret dili, Lehçeyi orta düzeyde biliyor. Bununla birlikte Arapça, Yunanca, İbranice, İsveççe, Estonca, Japonca, Gürcüce, Endonezyaca, Mandarin, Ukraynaca, Lakotaca, Navahoca, Amharca, Seylanca’yı temel düzeyde anlayabiliyor. Çok dil bilen kişilerin normal insanlardan bilişsel olarak nasıl farklılaştığı üzerine çalışmalar yürüten araştırmacılar Saima Malik-Moraleda ve Evalina Fedorenko, Smithin beynini inceledi. İnceleme Vaughnın beyninin dili anlamak için kullandığı kısımların normalden daha küçük olduğunu ortaya çıkardı. Smithin verileri, MIT ve Harvard Üniversitesinde çalışmalarını yürüten Malik-Moraleda ve Fedorenkonun incelediği çok dil bilen diğer kişilere ait bilgilerle uyuşuyordu."

6.07.2022       "ABDde gökten hamsi yağıyor Kaliforniya Üniversitesi Davis Kampüsündeki Otolit Jeokimya ve Balık Ekolojisi Laboratuvarı, San Francisco Körfezinin kıyıya yakın bölgesinde hamsilerin çok sayıda yumurtladığını 11 Haziranda bildirmişti. Denizbilimci Bill Keener, aç kuşların ağızlarını balıklarla tıka basa doldurduğunu ve yuvalarına uçarken bazılarının düştüğünü söyledi.San Francisco Halkı Balıkçılık Derneğinin (San Francisco Community Fishing Association) başkanı Larry Collins de deniz kıyısında çok sayıda kuşun olduğunu ve artık yiyemedikleri için ağızlarındaki hamsilerle suda beklediklerini aktardı."

12.08.2022       "Dünyaca ünlü rock grubu Arctic Monkeys’e bakkal saldırdı! Dünyanın en ünlü rock gruplarından birisi olan İngiliz grup Arctic Monkeys 2 gün önce İstanbul’da konser verdi. Konser sonrası İstanbuldan ayrılmayan grup üyelerinden Jamie Cook ve Nick Omalley geçtiğimiz gün Asmalımescitte Corridor adlı mekandaydı. Mekânın dışında bulunan bakkalın önünde geçen ekip üyeleri içmiş oldukları alkolün şişesini bakkalın önüne koyup kapısında sohbet edince ortalık karıştı. Dükkanından çıkan Bakkal ekip üyelerine saldırdı. Önce tepkisini şişeleri çöpe fırlatarak veren sinirli esnaf daha sonrasında grup üyelerinin sözlü cevabı karşısında İngilizce bağırarak küfür etmeye başladı. Grup üyelerini bakkalın önünden kovan sinirli esnaf dünyaca ünlü star olduklarının hatırlatılması üzerine fark etmez yanıtını verdi. Şaşkınlığını gizleyemeyen İngilterenin en ünlü müzik grubu üyeleri çareyi mekâna girmekte buldu. Bir süre daha sohbet eden grup üyeleri daha sonra İstiklal Caddesine çıktı. Gidecekleri yeri karıştıran ekip geri dönerek Asmalı Mescit sokaklarında gözden kayboldu. Geriye ise akıllarda bakkalın grubu kovma görüntüleri kaldı. Dünyaca ünlü olan İngiliz grubunun 1 Adet İngiltere’nin en prestijli müzik ödülü olan Merkür ödülü, dünyanın en prestijli müzik ödülü olan Grammy de ise 5 adaylığı ve farklı dallarda sayısız ödülü bulunuyor. En çok bilinen parçası Do I Wanna Know 1.4 Milyar YouTube da izlenmesi bulunuyor. Spotify da ise aynı parça 1,4 milyar diğer parçaları ise 500 milyon dinlenmenin üzerinde bulunarak kendi rekorlarını koruyor."

28.12.2022          "Yılbaşında yürürlüğe girecek yeni düzenlemeler açıklandı1 Ocaktan itibaren yürürlüğe girecek önemli düzenlemelerin başında, e-ticaret sektörünü düzenleyen Elektronik Ticaretin Düzenlenmesi Hakkında Kanunda Değişiklik Yapılmasına Dair Kanun geliyor.Kanunla, elektronik ticarette haksız rekabetin ve tekelleşmenin önüne geçilerek pazara yeni aktörlerin girişinin kolaylaştırılması, pazarın dengeli ve sağlıklı büyümesinin sağlanması amacıyla ölçekler de dikkate alınarak e-ticaret aracı hizmet sağlayıcı ve e-ticaret hizmet sağlayıcılara yönelik düzenleme yapılıyor. Yılbaşında, yüzde 2 oranında uygulanacak konaklama vergisi de yürürlüğe girecek. Otel, motel, tatil köyü, pansiyon, apart otel, misafirhane, kamping, dağ evi, yayla evi gibi konaklama tesislerinde verilen geceleme hizmetleri konaklama vergisine tabi olacak. Konaklama tesislerinde geceleme hizmetiyle birlikte satılmak suretiyle konaklama tesisi bünyesinde sunulan diğer tüm hizmetler de bu verginin kapsamında yer alacak.Kuyumculara yetki belgesi şartı 1 Ocak 2023 itibarıyla kuyumcu esnafının ticari faaliyetlerine devam edebilmesi için yetki belgesine sahip olmaları gerekiyor, evraklar eksik olsa dahi belge için 31 Aralıka kadar başvuru yapılması önem taşıyor. Yetki belgesi, kuyum işletmesinin bulunduğu yerdeki il müdürlüğü tarafından Bilgi Sistemi üzerinden verilecek.Sinema, konser, spor müsabakası ve at yarışları izleyicilerinin bilet bedeliyle birlikte ödedikleri yüzde 10luk eğlence vergisi, 1 Ocak 2023ten itibaren alınmayacak.Berber, kuaför ve güzellik salonlarının bir günlük tatil uygulaması 1 Ocak itibarıyla başlayacak. Tatil günü olarak pazar öne çıkarken tatil hakkı tüm işletmeler için eşit şekilde uygulanacağından haksız rekabetin oluşmasının önlenmesi öngörülüyor.Birleşik Krallık ile ticarette UKCA dönemi Birleşik Krallık ile ticarette, 1 Ocak itibarıyla CE işaretinin yerini UKCA düzenlemesi alacak. Bu bölgeye ihracat yapacak firmaların, UKCA belgelerini ürünlerine iliştirmesi önem taşıyor. Yılbaşından itibaren, toplam inşaat alanı 5 bin metrekareden büyük tüm binaların kullandığı enerjinin en az yüzde 5inin güneş enerjisi paneli, rüzgar enerjisi, ısı pompası gibi yenilenebilir enerji kaynaklarından karşılanması gerekecek.İhracat Destekleri Hakkında Karar kapsamında yurt dışı fuar destekleri 1 Ocaktan itibaren daha da etkin hale getirilecek. Kararla, hedef ülke/hedef sektör ayrımı yapılmadan tüm ülkelerde fuara katılım sağlanacak. Mikro/küçük işletmelerin fuar katılımına ilişkin harcamalarının yüzde 75 desteklenmesi ve daha fazla sayıda fuara katılımlarının teşvik edilmesi suretiyle yurt dışı fuar desteklerinin tabana yayılması hedefleniyor.Mükelleflere e-defter zorunluluğu 2021 yılı vergi dönemleri içinde cirosu 4 milyon lira ve üstü olan gerçek ve tüzel mükelleflerin, 1 Ocak 2023e kadar e-defter uygulamasına geçmesi gerekiyor. 2021 yılı cirosu 1 milyon lira ve üstün olan gayrimenkul ve/veya motorlu taşıt, inşa, imal, alım, satım veya kiralama işlemlerini yapanlar ile internet sitelerinde veya diğer her türlü elektronik ortamda mal ve hizmet satışını gerçekleştiren mükellefler de 1 Ocakta uygulama kapsamına girecek."

03.01.2023        "SpaceX, 2023’e tek seferde 114 uydu atarak başladı SpaceX, biraz önce Transporter-6 görevi için sorunsuz olarak yapılan Falcon 9 merkezli kalkış kapsamında alçak dünya yörüngesine ufak yapıda tam 114 uydu çıkardı. Bu 2023’ün ilk görevinde kullanılan Falcon 9 daha önce GPS III-3, Turksat 5A, Transporter-2, Intelsat G-33/G-34 ve 10 Starlink görevlerinde de kullanılmıştı. SpaceX geçtiğimiz hafta da 54 yeni Starlink uydusunun gönderildiği bir kalkış yapmış ve bununla 2022’nin 60. görevini başarıyla tamamlayarak yıl toplamı için konulan hedefe ulaşmıştı. Bu hedefi yılın başında direkt olarak Elon Musk koymuş, 28 Mart 2022 tarihinde bir Tweet atan şirket CEO’su Musk, SpaceX Falcon ekibi mükemmel bir ilerleme kaydediyor. Bu yıl 60 fırlatma hedefleniyor! demişti. Uzaya bakış açısını değiştiren SpaceX, yılı EROS C-3 görevi için kalkış yaparak tamamlamıştı. Falcon 9 merkezli görevde ImageSat Intl. imzalı EROS C-3 uydusu alçak dünya yörüngesine çıkarıldı. Bu 2022’nin son Falcon 9 görevi ile beraber firma yılı toplam 61 başarı ile kapattı."

03.01.2023           "Çinden korkutucu tahmin: Salgın, Şanghayda nüfusun %70ine yayıldı Şanghay Ruycin Hastanesi Başhekim Yardımcısı ve kentin Kovid-19 Danışma Kurulu üyesi Çın Arcın, Komünist Partinin yayın organı Peoples Daily gazetesine yaptığı açıklamada, son bir ayda şehirde bahar aylarında Omicron vakalarının tetiklediği salgından 20-30 kat fazla enfeksiyon görüldüğünün tahmin edildiğini belirtti. Nüfusu 25 milyonu aşan şehrinde yaklaşık 2 ay kapanmaya gidilmesine yol açan salgınında toplu testlerin uygulandığını, karantina merkezlerinde tecrit edilen pozitif vakalarının çoğunun hastalık belirtisi göstermediğini kaydeden Çın, Şimdi salgın o kadar yaygın ki muhtemelen nüfusun yüzde 70ine yayıldı. Bu bahardaki salgının 20-30 katı bir rakam. diye konuştu. Çın, Ruycin Hastanesi acil bakım birimindeki hasta sayısının günde 1600de kadar çıktığını, bunların yüzde 80inin Kovid-19 bağlantılı olduğunu, yaşlıların ve bağışıklık problemleri olan hastaların tüm vakaların yaklaşık yarısı olduğu bilgisini paylaştı. Şanghayda Omicron varyantını taşıyan vakaların tetiklediği salgın nedeniyle 28 Martta başlayan kapanma, sıfır vaka hedefine ulaşılamadığı için belirsiz süreyle uzatılarak haziran başına kadar sürmüştü. Salgında 2 ayda yaklaşık 600 bin vaka kaydedilmiş, bunlardan 600e yakını yaşamını yitirmişti. Çinli araştırmacıların sonuçlarını Eğitim Bakanlığı desteğindeki bilim dergisi Frontiers of Medicinede yayımladığı araştırmada, salgının Pekin, Şanghay, Guangcou ve Çongçing gibi büyükşehirlerde tepe noktasına ulaştığı, yeni yıldan itibaren 22 Ocakta başlayacak Bahar Festivaline kadar daha çok orta büyüklükteki şehirlere ve ardından taşradaki yerleşimlere yayılmasının beklendiğini bildirilmişti. Araştırmada, Şanghayda güz ve kış aylarında analiz edilen 300 numunenin DNA dizilimlerinde, Omicronun 30 alt varyantına rastlanmıştı. Kentte BF.7 ve BA.5.2 alt varyantlarının hakim olduğu, ayrıca son iki ayda ABD ve Avrupada yayılan BQ.1 ve XBB alt varyantlarının da görüldüğü bildirilmişti. 1 Eylül-26 Kasım 2022 tarihlerini kapsayan araştırmada, Şanghayda 5 bin 706 kişinin Kovid-19 bağlantılı rahatsızlıklar nedeniyle hastanelerde tedavi edildiği, bunların yaklaşık yüzde 97sinin orta ve hafif hastalık belirtisi gösterdiği, yüzde 3ünün ise ağır ve kritik durumda olduğu kaydedilmişti."

03.01.2023       "Mısır Mumyalarında Anadolu Geni Bulundu Almanya’da mumyalar üstüne yapılan bir araştırma ilginç bulguların ortaya çıkmasına sebebiyet verdi. Mısır’da çıkarılan M.Ö. 1400 ve 400 yıllarına ait olan mumyalarda yapılan araştırmada, bu mumyaların DNA’larında Anadolu ve Avrupa genlerinin olduğunu ortaya koydu. Mumyaların genlerinin Akdeniz insanlarının genlerine yakın olduğu anlaşıldı. DNA keşfi, eski Mısırlıların genetik tarihini ortaya koyuyor.Almanya’da bulunan Tübingen Üniversitesi, ilginç bir bulguyu ortaya çıkardı. Yapılan araştırma ülkenin üniversite şehri olarak tanımlanan Jena’daki Max Planck İnsanlık Tarihi Bilimleri Enstitüsü ve Tübingen Üniversitesi’nin ortak çalışması olarak yürütüldü. Araştırmada Mısır’da ortaya çıkarılan milattan önce 400 ve 1400’lü yıllar arasında yaşayan Antik Mısırlılara ait olan mumyaların DNA’ları incelendi. İnceleme sonucunda ulaşılan sonuç, Antik Mısır genlerinin günümüz Mısır halkı ile değil Anadolu’da ve Avrupa’da yaşayan insanların genleriyle uyumlu olduğunu ortaya koydu. Mumyaların analizi sonucunda bilim insanları, kalıntıların genlerinin Akdeniz insanlarının genlerine daha yakın olduğunu tespit etti."

